[2026-06-19T14:36:04.806Z] GET https://jenslaufer.com/convex/ → 200 (155ms, 12179B)
[2026-06-19T14:44:35.851Z] GET https://fonts.googleapis.com/css2?family=Newsreader:ital,opt,wght@0,8..60,400;0,8..60,500;0,8..60,600;1,8..60,400&family=IBM+Plex+Mono:wght@400;500;600&family=Inter:wght@400;500;600&display=swap → pending (?ms, ?B)
[2026-06-19T14:47:11.595Z] GET https://jenslaufer.com/convex/?m=375x812 → pending (?ms, ?B)
[2026-06-19T14:47:11.730Z] GET https://fonts.googleapis.com/css2?family=Newsreader:ital,opt,wght@0,8..60,400;0,8..60,500;0,8..60,600;1,8..60,400&family=IBM+Plex+Mono:wght@400;500;600&family=Inter:wght@400;500;600&display=swap → pending (?ms, ?B)
[2026-06-19T14:47:12.058Z] GET https://jenslaufer.com/convex/?m=768x1024 → 200 (7ms, 12269B)
[2026-06-19T14:47:12.079Z] GET https://fonts.googleapis.com/css2?family=Newsreader:ital,opt,wght@0,8..60,400;0,8..60,500;0,8..60,600;1,8..60,400&family=IBM+Plex+Mono:wght@400;500;600&family=Inter:wght@400;500;600&display=swap → pending (?ms, ?B)
[2026-06-19T14:47:12.383Z] GET https://jenslaufer.com/convex/?m=1280x800 → 200 (7ms, 12257B)
[2026-06-19T14:47:12.400Z] GET https://fonts.googleapis.com/css2?family=Newsreader:ital,opt,wght@0,8..60,400;0,8..60,500;0,8..60,600;1,8..60,400&family=IBM+Plex+Mono:wght@400;500;600&family=Inter:wght@400;500;600&display=swap → pending (?ms, ?B)
[2026-06-19T14:47:58.389Z] GET file:///tmp/convex-test.html → 200 (2ms, 38761B)
[2026-06-19T14:47:58.420Z] GET https://fonts.googleapis.com/css2?family=Newsreader:ital,opt,wght@0,8..60,400;0,8..60,500;0,8..60,600;1,8..60,400&family=IBM+Plex+Mono:wght@400;500;600&family=Inter:wght@400;500;600&display=swap → pending (?ms, ?B)
[2026-06-19T14:47:58.744Z] GET file:///tmp/convex-test.html → 200 (2ms, 38761B)
[2026-06-19T14:47:58.754Z] GET https://fonts.googleapis.com/css2?family=Newsreader:ital,opt,wght@0,8..60,400;0,8..60,500;0,8..60,600;1,8..60,400&family=IBM+Plex+Mono:wght@400;500;600&family=Inter:wght@400;500;600&display=swap → pending (?ms, ?B)
[2026-06-19T14:47:59.068Z] GET file:///tmp/convex-test.html → 200 (3ms, 38761B)
[2026-06-19T14:47:59.079Z] GET https://fonts.googleapis.com/css2?family=Newsreader:ital,opt,wght@0,8..60,400;0,8..60,500;0,8..60,600;1,8..60,400&family=IBM+Plex+Mono:wght@400;500;600&family=Inter:wght@400;500;600&display=swap → pending (?ms, ?B)
[2026-06-19T14:48:08.254Z] GET file:///tmp/convex-test.html → 200 (2ms, 38761B)
[2026-06-19T14:48:08.263Z] GET https://fonts.googleapis.com/css2?family=Newsreader:ital,opt,wght@0,8..60,400;0,8..60,500;0,8..60,600;1,8..60,400&family=IBM+Plex+Mono:wght@400;500;600&family=Inter:wght@400;500;600&display=swap → pending (?ms, ?B)
[2026-06-19T14:49:18.674Z] GET https://jenslaufer.com/convex/?live=h → pending (?ms, ?B)
[2026-06-19T14:49:18.833Z] GET https://fonts.googleapis.com/css2?family=Newsreader:ital,opt,wght@0,8..60,400;0,8..60,500;0,8..60,600;1,8..60,400&family=IBM+Plex+Mono:wght@400;500;600&family=Inter:wght@400;500;600&display=swap → pending (?ms, ?B)
[2026-06-19T15:06:33.338Z] GET https://jenslaufer.com/convex/?final=1 → 200 (24ms, 12571B)
[2026-06-19T15:06:33.374Z] GET https://fonts.googleapis.com/css2?family=Newsreader:ital,opt,wght@0,8..60,400;0,8..60,500;0,8..60,600;1,8..60,400&family=IBM+Plex+Mono:wght@400;500;600&family=Inter:wght@400;500;600&display=swap → pending (?ms, ?B)
[2026-06-19T15:29:11.617Z] GET file:///tmp/convex-test.html → 200 (3ms, 39130B)
[2026-06-19T15:29:11.650Z] GET https://fonts.googleapis.com/css2?family=Newsreader:ital,opt,wght@0,8..60,400;0,8..60,500;0,8..60,600;1,8..60,400&family=IBM+Plex+Mono:wght@400;500;600&family=Inter:wght@400;500;600&display=swap → pending (?ms, ?B)
[2026-06-19T15:29:26.087Z] GET file:///tmp/convex-test.html → 200 (2ms, 39130B)
[2026-06-19T15:29:26.101Z] GET https://fonts.googleapis.com/css2?family=Newsreader:ital,opt,wght@0,8..60,400;0,8..60,500;0,8..60,600;1,8..60,400&family=IBM+Plex+Mono:wght@400;500;600&family=Inter:wght@400;500;600&display=swap → pending (?ms, ?B)
[2026-06-19T15:30:33.586Z] GET https://jenslaufer.com/convex/?seed=live → 200 (134ms, 12680B)
[2026-06-19T15:30:33.730Z] GET https://fonts.googleapis.com/css2?family=Newsreader:ital,opt,wght@0,8..60,400;0,8..60,500;0,8..60,600;1,8..60,400&family=IBM+Plex+Mono:wght@400;500;600&family=Inter:wght@400;500;600&display=swap → pending (?ms, ?B)
